m,n,time to complete ms
6,6,1928.6058
6,6,126.2949
6,6,1291.1998999999998
6,6,3126.2595
6,6,1203.0655
6,6,2243.4852
6,6,814.4889000000001
6,6,7.3753
6,6,3141.0263
6,6,12.0489
6,6,421.829
6,6,215.2738
6,6,139.25179999999997
6,6,720.7536
6,6,1379.3172
6,6,738.1605
6,6,1996.3943000000002
6,6,983.2330999999999
6,6,17.5333
6,6,2609.7138999999997
6,6,3722.9517
6,6,525.5811
6,6,25.2248
6,6,1126.656
6,6,80.01989999999999
6,6,1601.0815
6,6,3155.4375
6,6,2480.535
6,6,4163.2573999999995
6,6,11535.5165
6,6,4088.7839
6,6,574.1429
6,6,11629.913
6,6,324.8573
6,6,3338.0813
6,6,6524.6802
6,6,11830.341699999999
6,6,1101.8289
6,6,1863.5057
6,6,1175.7628
6,6,1531.7564
6,6,98.4694
6,6,48.0698
6,6,6095.3458
6,6,5419.34
6,6,557.3753
6,6,458.8047
6,6,1095.5721
6,6,4059.5925
6,6,267.926
6,6,2120.512
6,6,381.5792
6,6,5693.021
6,6,4992.2157
6,6,383.4453
6,6,6737.4126
6,6,4671.737099999999
6,6,235.04979999999998
6,6,2620.3053
6,6,743.1545
6,6,620.8963
6,6,3614.9673
6,6,3356.5594
6,6,1833.8748
6,6,94.84689999999999
6,6,7880.8765
6,6,6970.4677
6,6,858.9572
6,6,10529.7521
6,6,5643.370900000001
6,6,3066.7786
6,6,8515.2416
6,6,10596.096599999999
6,6,2029.8271000000002
6,6,2066.1362
6,6,2158.7153
6,6,4390.3012
6,6,93.873
6,6,6933.9704
6,6,1652.7674
6,6,1142.7638
6,6,17473.3656
6,6,3966.929
6,6,10625.76
6,6,3068.7178
6,6,2369.278
6,6,6810.3817
6,6,9350.2534
6,6,2709.4441
6,6,1000.3063000000001
6,6,4830.0792
6,6,1484.3762
6,6,5101.4613
6,6,30007.3243
6,6,4585.6142
6,6,1133.5963000000002
6,6,11410.992
6,6,2241.3955
6,6,3198.5285
6,6,1199.8503999999998
6,6,8033.7755
6,6,6874.6736
6,6,1707.2473
6,6,1896.9235
6,6,3568.8417000000004
6,6,4492.0473
6,6,2079.2469
6,6,7892.4084
6,6,1815.9138
6,6,9726.8336
6,6,1767.223
6,6,6800.5918
6,6,7424.749
6,6,2617.2097000000003
6,6,5020.0578
6,6,5182.243
6,6,1496.8565
6,6,6901.0983
6,6,3573.1497000000004
6,6,7466.123
6,6,993.7608
6,6,17868.0572
6,6,362.293
6,6,2626.5195
6,6,1075.8499
6,6,3701.0115
6,6,5066.9129
6,6,7015.963299999999
6,6,2616.1717000000003
6,6,7064.4404
6,6,4529.5976
6,6,1159.1353000000001
6,6,12.2778
6,6,722.3818
6,6,15377.078599999999
6,6,10934.3146
6,6,11825.9496
6,6,17370.0131
6,6,22508.023
6,6,2026.0476
6,6,979.8466
6,6,26113.5992
6,6,11175.014
6,6,14584.8964
6,6,8716.957699999999
6,6,33252.0663
6,6,1702.7907
6,6,54449.7359
6,6,55802.9183
6,6,4545.7548
6,6,28364.1854
6,6,20010.673300000002
6,6,45769.5476
6,6,13964.7293
6,6,18308.968
6,6,2693.2855
6,6,23127.794100000003
6,6,5749.2105
6,6,2526.8127000000004
6,6,45865.5485
6,6,22853.665
6,6,46668.633700000006
6,6,24890.3559
6,6,3086.9102000000003
6,6,2328.8477000000003
6,6,26851.291100000002
6,6,5956.0825
6,6,15129.170199999999
6,6,2126.4234
6,6,23586.7596
6,6,7424.9714
6,6,47035.9951
6,6,104674.3135
6,6,118639.1419
6,6,66038.3039
6,6,1832.5233
6,6,88085.3269
6,6,2095.5796
6,6,27189.897
6,6,67698.8233
6,6,1811.5209
6,6,53256.527799999996
6,6,23189.6309
6,6,50607.6031
6,6,4151.974200000001
6,6,19591.3
6,6,14561.2416
6,6,1427.7653
6,6,3580.0013
6,6,9.893600000000001
6,6,4899.8026
6,6,19472.1401
6,6,2040.6579
6,6,1166.253
6,6,12138.404
6,6,7271.9659
6,6,7312.0053
6,6,1867.5955
6,6,6040.358
6,6,2120.6888
6,6,5433.6557999999995
6,6,949.1353
6,6,793.8833000000001
6,6,5185.378
6,6,21135.4926
6,6,79.44239999999999
6,6,7548.4467
6,6,2415.2122000000004
6,6,9906.2085
6,6,40722.972
6,6,5366.753900000001
6,6,4542.918299999999
6,6,2580.4475
6,6,4143.561299999999
6,6,201.9871
6,6,75.5266
6,6,4070.1749
6,6,6351.1362
6,6,1559.6559
6,6,9437.349199999999
6,6,11416.1715
6,6,5460.5931
6,6,3841.799
6,6,5605.2091
6,6,4612.9788
6,6,18666.4402
6,6,19762.080899999997
6,6,9307.195699999998
6,6,4592.393599999999
6,6,1341.9288999999999
6,6,744.7509
6,6,1887.3317
6,6,518.2747
6,6,2920.1539
6,6,1348.5218
6,6,13275.48
6,6,779.6438
6,6,6127.2973
6,6,81.3571
6,6,10.5405
6,6,5073.1647
6,6,26.3045
6,6,1261.5442
6,6,1470.8638
6,6,22187.0083
6,6,14433.5205
6,6,12108.3943
6,6,11825.5224
6,6,6331.8395
6,6,5921.311299999999
6,6,295.9669
6,6,67.0638
6,6,13825.4341
6,6,7745.763
6,6,7008.9520999999995
6,6,2729.3105
6,6,18429.7739
6,6,7836.4415
6,6,5362.432
6,6,598.6037
6,6,18357.924600000002
6,6,1711.5558999999998
6,6,2150.7684
6,6,7551.6709
6,6,18567.7875
6,6,675050.4068
6,6,451522.1472
6,6,16081.972
6,6,1130006.1681
6,6,4174.1517
6,6,27199.1894
6,6,21868.4375
6,6,48651.2938
6,6,10084.543699999998
6,6,74557.5348
6,6,1597.7961
6,6,175.94170000000003
6,6,19213.4313
6,6,14836.6401
6,6,9281.5252
6,6,11932.133300000001
6,6,31757.7906
6,6,1969.4065
6,6,3656.3355
6,6,7183.2091
6,6,12035.2693
6,6,5549.9366
6,6,12809.850699999999
6,6,791.6511999999999
6,6,8995.3611
6,6,36417.9342
6,6,5229.2237000000005
6,6,49895.683600000004
6,6,38077.198899999996
6,6,23252.517
6,6,6585.1273
6,6,3696.2797
6,6,47475.441100000004
6,6,435.3449
6,6,1942.627
6,6,1152.4802
6,6,16831.6176
6,6,19140.841
6,6,17746.6821
6,6,11075.3389
6,6,19137.433800000003
6,6,32142.347100000003
6,6,257403.40290000002
6,6,36159.0919
6,6,58062.1991
6,6,146163.64330000003
6,6,2762.2684
6,6,14547.1315
6,6,495712.2409
6,6,98811.4407
6,6,364297.29839999997
6,6,1117262.2102
6,6,6453.9526
6,6,58843.6616
6,6,51251.9511
6,6,73323.61959999999
6,6,6592.396900000001
6,6,29903.052600000003
6,6,72827.3436
6,6,16229.3984
6,6,202874.87709999998
6,6,10628.4595
6,6,36565.401600000005
6,6,1654.6217
6,6,39187.966100000005
6,6,28734.2278
6,6,57218.2915
6,6,1603108.8761
6,6,1442996.0566
6,6,4.7566999999999995
6,6,1257.0507
6,6,637.8098
6,6,228.4865
6,6,270.9694
6,6,6198.3223
6,6,1870.9951
6,6,866.5785
6,6,1120.5348000000001
6,6,3802.4891000000002
6,6,3713.9793
6,6,330.93190000000004
6,6,1070.0218
6,6,280.71479999999997
6,6,154.77579999999998
6,6,3234.9483999999998
6,6,527.4869
6,6,2855.5197000000003
6,6,1055.0993999999998
6,6,722.8204000000001
6,6,4448.2019
6,6,55.400400000000005
6,6,2073.2255
6,6,228.0491
6,6,2516.3504
6,6,1564.2698
6,6,2787.4592000000002
6,6,151.8268
6,6,445.56059999999997
6,6,736.4082
6,6,149.44070000000002
6,6,156.5408
6,6,1324.3317
6,6,2154.4552000000003
6,6,4.2188
6,6,358.1377
6,6,490.9105
6,6,2043.4204
6,6,1300.5519
6,6,853.3758
6,6,5829.0093
6,6,932.0567
6,6,168.825
6,6,1940.542
6,6,1762.4083999999998
6,6,450.672
6,6,2351.0903
6,6,381.8178
6,6,1566.6476
6,6,1057.7511000000002
6,6,1802.7717
6,6,1950.9998
6,6,340.4631
6,6,558.7374
6,6,3612.7346000000002
6,6,292.46520000000004
6,6,1378.7386999999999
6,6,229.9642
6,6,616.3202
6,6,2362.1113
6,6,1372.1115
6,6,89.32839999999999
6,6,5607.120400000001
6,6,927.2825
6,6,30.5777
6,6,8.1405
6,6,485.0852
6,6,2077.7063
6,6,898.7654
6,6,319.9633
6,6,2407.0807999999997
6,6,348.6928
6,6,289.1302
6,6,5918.5518
6,6,3678.7785
6,6,2155.0634
6,6,153.8386
6,6,836.1739
6,6,843.657
6,6,2927.9618
6,6,3515.1441
6,6,542.624
6,6,2189.5063999999998
6,6,1387.8218
6,6,2370.2465
6,6,1924.8625
6,6,3092.3899
6,6,1531.5988
6,6,137.3816
6,6,2154.0051000000003
6,6,325.0577
6,6,2981.6371
6,6,405.9957
6,6,11.3883
6,6,1406.2156
6,6,237.9179
6,6,213.7911
6,6,590.7199
6,6,2053.6833
6,6,504.492
6,6,584.3079
6,6,734.5756
6,6,2096.2335
6,6,2098.5182999999997
6,6,2449.6632999999997
6,6,2494.0541000000003
6,6,9.6631
6,6,135.3735
6,6,887.5724
6,6,4036.399
6,6,448.23
6,6,2459.9216
6,6,524.194
6,6,753.4172
6,6,382.09990000000005
6,6,30.214599999999997
6,6,776.001
6,6,178.4355
6,6,134.6864
6,6,100.7713
6,6,1143.8017
6,6,877.3233
6,6,2981.8731000000002
6,6,1205.6268
6,6,381.3974
6,6,313.3662
6,6,1590.8638999999998
6,6,372.9492
6,6,274.0878
6,6,1878.5163
6,6,906.9926999999999
6,6,395.08979999999997
6,6,2223.6366000000003
6,6,1290.4968000000001
6,6,3250.8396000000002
6,6,292.178
6,6,8.0037
6,6,716.1324000000001
6,6,1840.5105
6,6,2126.1122
6,6,148.9601
6,6,226.2217
6,6,388.3933
6,6,152.9607
6,6,201.4888
6,6,809.6990999999999
6,6,533.0822
6,6,1816.6387
6,6,3031.3233999999998
6,6,1055.9128999999998
6,6,2771.1865
6,6,2297.8854
6,6,2440.9689
6,6,1043.5955
6,6,1017.1389
6,6,3553.6648999999998
6,6,1063.6328
6,6,136.8691
6,6,1142.9663
6,6,1593.357
6,6,625.6365
6,6,2174.484
6,6,935.2183
6,6,112.3064
6,6,892.4041
6,6,1229.0838
6,6,608.1541
6,6,3192.0216
6,6,239.2243
6,6,168.5081
6,6,302.4235
6,6,342.8546
6,6,603.1667
6,6,1733.4052
6,6,1367.4855
6,6,334.5823
6,6,172.55720000000002
6,6,1779.9007
6,6,711.7196
6,6,1833.1806000000001
6,6,78.5689
6,6,1647.316
6,6,1503.0937
6,6,20.347900000000003
6,6,379.8132
6,6,565.4895
6,6,433.736
6,6,605.9227
6,6,7.999
6,6,1725.8608000000002
6,6,318.6961
6,6,1927.4318999999998
6,6,9741.8805
6,6,715.4538
6,6,697.8581999999999
6,6,2229.7344
6,6,4251.0426
6,6,1257.4392
6,6,149.6204
6,6,3846.6088999999997
6,6,52.139
6,6,774.481
6,6,4621.2020999999995
6,6,585.6541
6,6,2205.7048
6,6,21.6047
6,6,883.2691
6,6,1292.0661
6,6,413.29159999999996
6,6,836.7051
6,6,2870.5642000000003
6,6,3551.0317
6,6,168.43439999999998
6,6,3151.5065
6,6,1077.5516
6,6,2059.3193
6,6,1283.4425
6,6,913.7815
6,6,61.723099999999995
6,6,845.7316999999999
6,6,560.2357
6,6,972.0477
6,6,1711.8235
6,6,2600.7627
6,6,22.621599999999997
6,6,1396.7819
6,6,1287.5924
6,6,1430.3802
6,6,470.0591
6,6,46.5289
6,6,1737.3889
6,6,1156.5105
6,6,1249.7433
6,6,304.50559999999996
6,6,1131.7706
6,6,1214.803
6,6,267.1369
6,6,585.1059
6,6,1772.694
6,6,283.4396
6,6,4082.6976
6,6,316.0032
6,6,304.058
6,6,833.525
6,6,118.5361
6,6,1669.5561
6,6,275.601
6,6,4408.7213
